"ID,""Collection"",""ENS"",""Minting Date"",""Tx Count"",""Power"""
"1120265,""0x795d43ea89360ea196de46bc6b6da8bb027f8dfa"","""",""Mon, 06 Sep 2021 18:14:35 GMT"",""1"",""115"""
"1120266,""0x31ffc3000d0cc1f335c4bfbb767a7c4bc818fa6d"","""",""Mon, 06 Sep 2021 18:14:35 GMT"",""1"",""1188"""
"1120267,""0xe8d9dc041b78451ebcc0ae6c60f567c59a577806"","""",""Mon, 06 Sep 2021 18:14:35 GMT"",""1"",""337"""
"1120269,""0x3f84020f8d26f80075d5ec97b434a70124164ae7"","""",""Mon, 06 Sep 2021 18:14:55 GMT"",""1"",""98"""
"1120271,""0xf22d70e62aef30b4ce59d4fc470a16b04d37d3c1"","""",""Mon, 06 Sep 2021 18:15:15 GMT"",""1"",""7"""
"1120273,""0x20106406f9077eb5ae83e778143080e3209671bd"","""",""Mon, 06 Sep 2021 18:15:25 GMT"",""1"",""99"""
"1120274,""0x9180978e433d71c5bae36163cd1559695810d950"","""",""Mon, 06 Sep 2021 18:15:30 GMT"",""1"",""210"""
"1120275,""0x8185763ddc8ee4ce5533dad369e6ff84a965546d"",""calf.eth"",""Mon, 06 Sep 2021 18:15:50 GMT"",""1"",""84"""
"1120276,""0x402b483092fe8b5f1b98a6e9bbbaa16217463de5"",""mypoap.eth"",""Mon, 06 Sep 2021 18:15:50 GMT"",""1"",""699"""
"1120277,""0x2523a6b01d0b8dda7a4d6415f259ba1194c9a962"","""",""Mon, 06 Sep 2021 18:16:00 GMT"",""1"",""1"""
"1120278,""0x57e02d0d18209baa7efece967137a1abc67d0773"","""",""Mon, 06 Sep 2021 18:16:05 GMT"",""1"",""1064"""
"1120279,""0x2060a8f156a82873527ad672730a4dd4b1ef163a"","""",""Mon, 06 Sep 2021 18:16:20 GMT"",""1"",""5"""
"1120280,""0xd13ac690c6012dd29f556172d6ef7ce1d6f33428"","""",""Mon, 06 Sep 2021 18:16:25 GMT"",""1"",""21"""
"1120281,""0x96e99a4ce092406b8c54fed16806a7d6e4c028e6"",""pinode.eth"",""Mon, 06 Sep 2021 18:16:35 GMT"",""2"",""1957"""
"1120282,""0x157b0f920a7d09aa28302d843919d9230bf95c20"","""",""Mon, 06 Sep 2021 18:16:35 GMT"",""1"",""504"""
"1120285,""0x77e9222f4f8e575e80b4c2ddcdae9c5d8c29edee"","""",""Mon, 06 Sep 2021 18:17:05 GMT"",""1"",""329"""
"1120287,""0xc2691aeffc7c38fd06908bbcfb76e6055e067817"","""",""Mon, 06 Sep 2021 18:17:10 GMT"",""1"",""227"""
"1120288,""0x175631f8948f909bf82cda52e731f522157c4f28"",""opyn2.eth"",""Mon, 06 Sep 2021 18:17:20 GMT"",""1"",""689"""
"1120293,""0xe2112f7ef1f8f2d1b7b243c7043c9b6867a80d53"","""",""Mon, 06 Sep 2021 18:17:50 GMT"",""1"",""548"""
"1120296,""0xdf281f84325062cb2705cb12ab12129ac52c93ae"","""",""Mon, 06 Sep 2021 18:18:05 GMT"",""1"",""51"""
"1120298,""0xd64e959840ac4baa22242ef86ff3dec548f61e1f"","""",""Mon, 06 Sep 2021 18:18:10 GMT"",""1"",""1000"""
"1120299,""0x9bb07527e475bffb5fb40d1ecb716297fe1a8e27"","""",""Mon, 06 Sep 2021 18:18:20 GMT"",""1"",""665"""
"1120303,""0xceebc6d157f0281757d0c97f8978cdf60b86dfb7"","""",""Mon, 06 Sep 2021 18:18:20 GMT"",""1"",""4"""
"1120304,""0x1962698253fc939d73125d59603849b284ce9811"","""",""Mon, 06 Sep 2021 18:18:25 GMT"",""1"",""122"""
"1120307,""0x53606c7493af1e75b0b7319d451083da68e42f1a"","""",""Mon, 06 Sep 2021 18:18:45 GMT"",""1"",""20"""
"1120315,""0x015fc0f9a30b6353b6ea191d7c4ba6c8aade92d7"",""poswap.eth"",""Mon, 06 Sep 2021 18:19:15 GMT"",""1"",""612"""
"1120316,""0xa05bca6f6d9c0bc2c3a597ac3f800eaf502aca66"",""caseyjones.eth"",""Mon, 06 Sep 2021 18:19:40 GMT"",""1"",""137"""
"1120317,""0x2439f992fcd067361c5e2d9277dac974b9d5162a"",""saberlu.eth"",""Mon, 06 Sep 2021 18:19:45 GMT"",""1"",""652"""
"1120318,""0xaf154e579cf7780b561b987219da7c23523f3b46"","""",""Mon, 06 Sep 2021 18:19:50 GMT"",""1"",""302"""
"1120319,""0x66ae4680fccf23f58205a237975db8e74adbca5f"","""",""Mon, 06 Sep 2021 18:20:05 GMT"",""1"",""619"""
"1120320,""0x4c50331cf8f6383df2962ae4eabb25200a7dddc5"","""",""Mon, 06 Sep 2021 18:20:25 GMT"",""1"",""309"""
"1120321,""0xe92c558ff019cc87c7bf3aa5ee9854708d0d6739"","""",""Mon, 06 Sep 2021 18:20:40 GMT"",""1"",""644"""
"1120322,""0xc4e5894df60a4e0a14fd60099ce215fcd3bc936e"","""",""Mon, 06 Sep 2021 18:20:55 GMT"",""1"",""1"""
"1120323,""0x2038d54eac543950886e51583855196891e6d630"","""",""Mon, 06 Sep 2021 18:21:00 GMT"",""1"",""18"""
"1120324,""0x3cbf036d6c709fd723d3bcc0b4123c603260fdde"","""",""Mon, 06 Sep 2021 18:21:15 GMT"",""1"",""9"""
"1120325,""0x5cb82dac01735ffb1c29b19d4be50ef2dac07acd"","""",""Mon, 06 Sep 2021 18:21:15 GMT"",""1"",""1281"""
"1120326,""0x939cbfc1527946618d560e1d72a055feef686970"","""",""Mon, 06 Sep 2021 18:21:25 GMT"",""1"",""56"""
"1120330,""0x9dca01c8efcaab23c7c5a8cca7d79df876ba9732"","""",""Mon, 06 Sep 2021 18:21:50 GMT"",""1"",""273"""
"1120332,""0x6c56d055250945d854be853d14f894ca420671ed"","""",""Mon, 06 Sep 2021 18:22:10 GMT"",""1"",""675"""
